!TspProblem. Generated by TspProblem.java
!name: ulysses16
!type: TSP
!comment:  Odyssey of Ulysses (Groetschel/Padberg)
N: 16
!capacity 0
!edgeWeightType: GEO
!edgeWeightFormat: null
!edgeDataFormat: null
!nodeCoordType: null
!displayDataType: COORD_DISPLAY
Nodes: [
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
]
Distance:[
1 509 501 312 1019 736 656 60 1039 726 2314 479 448 479 619 150 
509 1 126 474 1526 1226 1133 532 1449 1122 2789 958 941 978 1127 542 
501 126 1 541 1516 1184 1084 536 1371 1045 2728 913 904 946 1115 499 
312 474 541 1 1157 980 919 271 1333 1029 2553 751 704 720 783 455 
1019 1526 1516 1157 1 478 583 996 858 855 1504 677 651 600 401 1033 
736 1226 1184 980 478 1 115 740 470 379 1581 271 289 261 308 687 
656 1133 1084 919 583 115 1 667 455 288 1661 177 216 207 343 592 
60 532 536 271 996 740 667 1 1066 759 2320 493 454 479 598 206 
1039 1449 1371 1333 858 470 455 1066 1 328 1387 591 650 656 776 933 
726 1122 1045 1029 855 379 288 759 328 1 1697 333 400 427 622 610 
2314 2789 2728 2553 1504 1581 1661 2320 1387 1697 1 1838 1868 1841 1789 2248 
479 958 913 751 677 271 177 493 591 333 1838 1 68 105 336 417 
448 941 904 704 651 289 216 454 650 400 1868 68 1 52 287 406 
479 978 946 720 600 261 207 479 656 427 1841 105 52 1 237 449 
619 1127 1115 783 401 308 343 598 776 622 1789 336 287 237 1 636 
150 542 499 455 1033 687 592 206 933 610 2248 417 406 449 636 1 
]
PosX: [ 38.24 39.57 40.56 36.26 33.48 37.56 38.42 37.52 41.23 41.17 36.08 38.47 38.15 37.51 35.49 39.36 
]
PosY: [ 20.42 26.15 25.32 23.12 10.54 12.19 13.11 20.44 9.1 13.05 -5.21 15.13 15.35 15.17 14.32 19.56 
]
Demand: [ 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
]
Draft: [ 15 15 15 8 15 15 15 13 15 15 15 15 15 15 15 15 
]
